"Journal";"ISSN";"Cites";"IFactor";"5IFactor";"Index";"Articles";"HalfLife";"Eigenfactor";"Influence";"Categoria"
"ONCOIMMUNOLOGY";"2162-4011";2080;6.266;6.269;1.525;80;"1.9";0.00694;1.4;"IMMUNOLOGY"
"PARASITE IMMUNOL";"0141-9838";2406;2.143;2.22;0.208;72;"9.0";0.00372;0.679;"IMMUNOLOGY"
"PATHOG DIS";"2049-632X";250;2.403;2.418;0.813;107;"1.2";0.00074;0.691;"IMMUNOLOGY"
"PEDIAT ALLER IMM PUL";"2151-321X";98;0.657;0.692;0.194;31;"";0.00052;0.248;"IMMUNOLOGY"
"PEDIAT ALLERG IMM-UK";"0905-6157";3335;3.397;2.884;0.854;89;"5.6";0.00707;0.763;"IMMUNOLOGY"
"PEDIATR INFECT DIS J";"0891-3668";11318;2.723;2.913;0.639;330;"7.5";0.02807;1.125;"IMMUNOLOGY"
"SCAND J IMMUNOL";"0300-9475";3939;1.739;1.949;0.295;95;"9.2";0.00555;0.545;"IMMUNOLOGY"
"SEMIN IMMUNOL";"1044-5323";3502;5.17;5.504;1.524;63;"6.7";0.00956;2.448;"IMMUNOLOGY"
"SEMIN IMMUNOPATHOL";"1863-2297";2008;7.748;7.047;1.133;45;"3.4";0.00913;2.478;"IMMUNOLOGY"
"TISSUE ANTIGENS";"0001-2815";3770;2.137;2.039;1.448;125;"7.9";0.00451;0.478;"IMMUNOLOGY"
"TRANSFUS CLIN BIOL";"1246-7820";412;0.712;0.606;0;43;"7.2";0.00054;0.121;"IMMUNOLOGY"
"TRANSFUS MED HEMOTH";"1660-3796";546;1.824;1.897;0.64;50;"3.4";0.00173;0.508;"IMMUNOLOGY"
"TRANSPL IMMUNOL";"0966-3274";1296;1.457;1.616;0.444;63;"6.8";0.00273;0.52;"IMMUNOLOGY"
"TRANSPL INFECT DIS";"1398-2273";1738;2.064;2.043;0.333;141;"4.6";0.0054;0.635;"IMMUNOLOGY"
"TRANSPL P";"0041-1345";12150;0.982;1.029;0.079;807;"7.5";0.01982;0.275;"IMMUNOLOGY"
"TRANSPLANT REV-ORLAN";"0955-470X";522;3.816;NA;0.615;26;"3.9";0.00191;NA;"IMMUNOLOGY"
"TRANSPLANTATION";"0041-1337";24021;3.828;3.604;0.713;376;"9.4";0.03817;1.188;"IMMUNOLOGY"
"TRENDS IMMUNOL";"1471-4906";8931;10.399;10.527;2.182;66;"6.8";0.02661;4.555;"IMMUNOLOGY"
"TUBERCULOSIS";"1472-9792";2416;2.711;3.085;0.774;93;"5.6";0.00607;0.954;"IMMUNOLOGY"
"VACCINE";"0264-410X";35325;3.624;3.338;0.754;999;"5.5";0.08327;0.941;"IMMUNOLOGY"
"VET IMMUNOL IMMUNOP";"0165-2427";5915;1.535;1.769;0.335;164;"8.1";0.00877;0.454;"IMMUNOLOGY"
"VIRAL IMMUNOL";"0882-8245";1229;1.446;1.587;0.206;68;"8.0";0.00183;0.425;"IMMUNOLOGY"
"VIRULENCE";"2150-5594";1298;4.216;3.672;1.964;84;"2.4";0.00593;1.212;"IMMUNOLOGY"
"EURASIP J IMAGE VIDE";"1687-5281";234;0.736;0.738;0.115;52;"4.2";0.00098;0.293;"IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY"
"GEOCARTO INT";"1010-6049";519;1.37;NA;0.158;57;"5.8";0.00113;NA;"IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY"
"IEEE GEOSCI REMOTE S";"1545-598X";4502;2.095;2.339;0.513;446;"4.4";0.01251;0.69;"IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY"
"IEEE J-STARS";"1939-1404";2331;3.026;3.303;0.515;445;"2.6";0.00792;0.821;"IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY"
"IEEE T GEOSCI REMOTE";"0196-2892";25780;3.514;4.112;0.858;628;"8.7";0.03513;1.107;"IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY"
"IEEE T MED IMAGING";"0278-0062";12720;3.39;4.288;0.435;184;"9.8";0.0207;1.437;"IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY"
"IMAGE ANAL STEREOL";"1580-3139";187;0.971;NA;0.05;20;"6.3";0.00071;NA;"IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY"
"IMAGING SCI J";"1368-2199";148;0.298;0.454;0.041;49;"4.8";0.00035;0.106;"IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY"
"INT J IMAG SYST TECH";"0899-9457";551;1.301;1.076;0.119;42;"8.0";0.00117;0.373;"IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY"
"INT J REMOTE SENS";"0143-1161";16435;1.652;1.859;0.489;440;">10.0";0.01664;0.471;"IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY"
"ISPRS J PHOTOGRAMM";"0924-2716";4120;3.132;4.652;0.89;172;"5.5";0.00771;1.062;"IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY"
"J APPL REMOTE SENS";"1931-3195";990;1.183;1.309;0.193;259;"3.7";0.00287;0.327;"IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY"
"J ELECTRON IMAGING";"1017-9909";1285;0.672;0.832;0.119;168;"8.4";0.00215;0.235;"IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY"
"J IMAGING SCI TECHN";"1062-3701";491;0.349;0.695;0;25;"8.6";0.00093;0.228;"IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY"
"J REAL-TIME IMAGE PR";"1861-8200";275;2.02;1.548;0.146;48;"3.8";0.00107;0.545;"IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY"
"J VISUAL-JAPAN";"1343-8875";283;0.575;0.568;0.088;34;"6.7";0.00073;0.215;"IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY"
"PHOTOGRAMM ENG REM S";"0099-1112";5926;1.608;2.325;0.238;84;">10.0";0.00397;0.577;"IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY"
"PHOTOGRAMM FERNERKUN";"1432-8364";189;0.733;0.76;0.412;34;"4.0";0.00047;0.173;"IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY"
"PHOTOGRAMM REC";"0031-868X";526;1.038;1.432;0.381;21;"8.4";0.00063;0.339;"IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY"
"REMOTE SENS ENVIRON";"0034-4257";34609;6.393;7.769;1.271;380;"8.4";0.04569;1.936;"IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY"
"REMOTE SENS LETT";"2150-704X";516;1.573;1.779;0.311;106;"2.3";0.00223;0.519;"IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY"
"SIAM J IMAGING SCI";"1936-4954";1731;2.27;5.237;0.273;99;"5.1";0.01404;3.168;"IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY"
"SIGNAL IMAGE VIDEO P";"1863-1703";457;1.43;1.335;0.228;167;"2.7";0.00127;0.287;"IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY"
"VIRTUAL REAL-LONDON";"1359-4338";250;0.667;0.983;0.19;21;"6.8";6e-04;0.323;"IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY"
"ACTA SCI POL-HORTORU";"1644-0692";240;0.552;0.501;0.074;81;"3.1";0.00056;0.092;"HORTICULTURE"
"AM J ENOL VITICULT";"0002-9254";4684;1.388;1.822;0.233;60;">10.0";0.00261;0.497;"HORTICULTURE"
"AUST J GRAPE WINE R";"1322-7130";1669;1.816;2.779;0.255;55;"8.7";0.00253;0.749;"HORTICULTURE"
"BIOL AGRIC HORTIC";"0144-8765";274;0.681;0.605;0.077;26;">10.0";0.00019;0.156;"HORTICULTURE"
"ERWERBS-OBSTBAU";"0014-0309";71;0.25;0.324;0.267;15;"";1e-04;0.084;"HORTICULTURE"
"EUPHYTICA";"0014-2336";8514;1.385;1.726;0.275;211;">10.0";0.00814;0.426;"HORTICULTURE"
"EUR J HORTIC SCI";"1611-4426";191;0.302;0.533;0.024;42;"6.2";0.00039;0.144;"HORTICULTURE"
"EUR J PLANT PATHOL";"0929-1873";4236;1.49;1.649;0.294;218;"7.8";0.00675;0.45;"HORTICULTURE"
"FRUITS";"0248-1294";458;0.883;0.904;0.077;39;"9.0";0.00054;0.183;"HORTICULTURE"
"HORTIC BRAS";"0102-0536";953;0.335;0.604;0.012;82;"8.1";0.00118;0.147;"HORTICULTURE"
"HORTIC ENVIRON BIOTE";"2211-3452";261;0.725;NA;0.027;74;"3.4";0.00077;NA;"HORTICULTURE"
"HORTIC SCI";"0862-867X";234;0.586;0.675;0.038;26;"7.9";0.00034;0.173;"HORTICULTURE"
"HORTSCIENCE";"0018-5345";6976;0.902;1.09;0.167;210;">10.0";0.00582;0.266;"HORTICULTURE"
"HORTTECHNOLOGY";"1063-0198";1336;0.681;0.712;0.127;102;"9.1";0.00193;0.194;"HORTICULTURE"
"INDIAN J HORTIC";"0972-8538";323;0.134;0.18;0;120;"9.1";0.00045;0.05;"HORTICULTURE"
"J AM POMOL SOC";"1527-3741";139;0.382;0.378;0.12;25;"7.7";0.00016;0.08;"HORTICULTURE"
"J AM SOC HORTIC SCI";"0003-1062";5001;1.276;1.471;0.189;74;">10.0";0.00175;0.353;"HORTICULTURE"
"J HORTIC SCI BIOTECH";"1462-0316";2170;0.541;0.641;0.097;103;">10.0";0.00134;0.149;"HORTICULTURE"
"J INT SCI VIGNE VIN";"1151-0285";333;0.625;0.944;0;30;"7.8";0.00048;0.242;"HORTICULTURE"
"J JPN SOC HORTIC SCI";"1882-3351";975;0.744;0.741;0.211;38;">10.0";0.00069;0.164;"HORTICULTURE"
"J PROF ASSOC CACTUS";"1938-663X";57;0.3;0.35;0;4;"";5e-05;0.087;"HORTICULTURE"
"KOREAN J HORTIC SCI";"1226-8763";314;0.339;0.351;0.026;115;"4.6";0.00039;0.043;"HORTICULTURE"
"MITT KLOSTERNEUBURG";"0007-5922";67;0.045;0.077;0.188;16;"";7e-05;0.014;"HORTICULTURE"
"MOL BREEDING";"1380-3743";3796;2.246;2.57;0.395;253;"5.9";0.00684;0.611;"HORTICULTURE"
"NEW ZEAL J CROP HORT";"0114-0671";450;0.605;0.547;0.074;27;">10.0";0.00035;0.16;"HORTICULTURE"
"POSTHARVEST BIOL TEC";"0925-5214";7205;2.223;2.845;0.551;185;"7.7";0.00813;0.615;"HORTICULTURE"
"PROPAG ORNAM PLANTS";"1311-9109";119;0.346;0.411;0.083;24;"5.5";0.00016;0.065;"HORTICULTURE"
"REV BRAS FRUTIC";"0100-2945";1195;0.414;0.555;0.019;162;"6.8";0.00179;0.126;"HORTICULTURE"
"SCI HORTIC-AMSTERDAM";"0304-4238";8076;1.365;1.785;0.186;517;"6.7";0.01312;0.406;"HORTICULTURE"
"SEED SCI TECHNOL";"0251-0952";1055;0.48;0.543;0.044;45;">10.0";0.00071;0.131;"HORTICULTURE"
"THEOR APPL GENET";"0040-5752";20524;3.79;3.986;0.749;203;">10.0";0.01882;0.928;"HORTICULTURE"
"TREE GENET GENOMES";"1614-2942";1732;2.451;2.563;0.279;136;"3.9";0.00475;0.606;"HORTICULTURE"
"VITIS";"0042-7500";1225;0.738;1.082;0.086;35;">10.0";0.00074;0.296;"HORTICULTURE"
"AGR HIST";"0002-1482";248;0.194;0.356;0.091;22;">10.0";0.00049;0.353;"HISTORY & PHILOSOPHY OF SCIENCE"
"AGR HUM VALUES";"0889-048X";1132;1.617;2.196;0.34;47;"7.6";0.00222;0.76;"HISTORY & PHILOSOPHY OF SCIENCE"
"AMBIX";"0002-6980";159;0.536;0.582;0.125;16;">10.0";0.00063;0.595;"HISTORY & PHILOSOPHY OF SCIENCE"
"ANN SCI";"0003-3790";269;0.545;0.525;0.062;16;">10.0";6e-04;0.38;"HISTORY & PHILOSOPHY OF SCIENCE"
"ARCH HIST EXACT SCI";"0003-9519";237;0.455;0.528;0.105;19;">10.0";0.00039;0.278;"HISTORY & PHILOSOPHY OF SCIENCE"
"ARCH NAT HIST";"0260-9541";93;0.208;NA;0.156;32;"";0.00011;NA;"HISTORY & PHILOSOPHY OF SCIENCE"
"B HIST MED";"0007-5140";470;0.297;0.568;0.053;19;">10.0";0.00053;0.381;"HISTORY & PHILOSOPHY OF SCIENCE"
"B STOR SCI MAT";"0392-4432";10;0;0.1;0;4;"";0;0;"HISTORY & PHILOSOPHY OF SCIENCE"
"BER WISSGESCH";"0170-6233";28;0.062;0.128;0;16;"";0.00011;0.08;"HISTORY & PHILOSOPHY OF SCIENCE"
"BIOL PHILOS";"0169-3867";823;1.19;1.249;0.667;45;"7.8";0.00155;0.427;"HISTORY & PHILOSOPHY OF SCIENCE"
"BIOSEMIOTICS-NETH";"1875-1342";111;0.593;0.742;0.071;28;"4.0";1e-04;0.051;"HISTORY & PHILOSOPHY OF SCIENCE"
"BRIT J PHILOS SCI";"0007-0882";1084;1.281;1.465;0.533;30;">10.0";0.00144;0.579;"HISTORY & PHILOSOPHY OF SCIENCE"
"CENTAURUS";"0008-8994";110;0.564;0.463;0.077;13;">10.0";0.00051;0.394;"HISTORY & PHILOSOPHY OF SCIENCE"
"CRYPTOLOGIA";"0161-1194";113;0.186;0.173;0;22;">10.0";9e-05;0.054;"HISTORY & PHILOSOPHY OF SCIENCE"
"DYNAMIS";"0211-9536";66;0.306;0.321;0;8;"";0.00025;0.19;"HISTORY & PHILOSOPHY OF SCIENCE"
"EARLY SCI MED";"1383-7427";94;0.267;NA;0.1;20;"";0.00049;NA;"HISTORY & PHILOSOPHY OF SCIENCE"
"EARTH SCI HIST";"0736-623X";46;0.423;0.254;0.062;16;"";0.00011;0.114;"HISTORY & PHILOSOPHY OF SCIENCE"
"ENDEAVOUR";"0160-9327";399;0.217;0.266;0;26;">10.0";0.00024;0.12;"HISTORY & PHILOSOPHY OF SCIENCE"
"ENG STUD";"1937-8629";37;0.5;0.643;0;11;"";0.00029;0.322;"HISTORY & PHILOSOPHY OF SCIENCE"
"EUR J PHILOS SCI";"1879-4912";69;1.195;1.066;0.13;23;"";0.00033;0.345;"HISTORY & PHILOSOPHY OF SCIENCE"
"EUR PHYS J H";"2102-6459";101;1.054;1.125;0.44;25;"2.3";0.00075;0.59;"HISTORY & PHILOSOPHY OF SCIENCE"
"FOUND CHEM";"1386-4238";143;1.361;NA;0.2;15;"4.6";0.00025;NA;"HISTORY & PHILOSOPHY OF SCIENCE"
"FOUND SCI";"1233-1821";154;0.653;0.58;0.182;22;"8.3";4e-04;0.228;"HISTORY & PHILOSOPHY OF SCIENCE"
"HER RUSS ACAD SCI+";"1019-3316";229;0.266;0.28;0.039;51;">10.0";4e-04;0.093;"HISTORY & PHILOSOPHY OF SCIENCE"
"HIST GEO- SPACE SCI";"2190-5010";17;0.55;0.472;0;10;"";0.00014;0.24;"HISTORY & PHILOSOPHY OF SCIENCE"
"HIST HUM SCI";"0952-6951";285;0.398;0.621;0.143;35;"6.8";0.00121;0.369;"HISTORY & PHILOSOPHY OF SCIENCE"
"HIST MATH";"0315-0860";149;0.435;0.257;0;17;">10.0";0.00023;0.207;"HISTORY & PHILOSOPHY OF SCIENCE"
"HIST PHIL LIFE SCI";"0391-9714";126;0.214;0.386;NA;NA;"8.6";0.00036;0.201;"HISTORY & PHILOSOPHY OF SCIENCE"
"HIST PHILOS LOGIC";"0144-5340";105;0.147;0.261;0;21;">10.0";6e-05;0.046;"HISTORY & PHILOSOPHY OF SCIENCE"
"HIST REC AUST SCI";"0727-3061";32;0.667;0.318;0;19;"";9e-05;0.269;"HISTORY & PHILOSOPHY OF SCIENCE"
"HIST SCI";"0073-2753";330;0.417;0.582;0.158;19;">10.0";0.00067;0.466;"HISTORY & PHILOSOPHY OF SCIENCE"
"HIST STUD NAT SCI";"1939-1811";59;0.311;0.544;0.182;11;"";0.00068;0.539;"HISTORY & PHILOSOPHY OF SCIENCE"
"HYLE";"1433-5158";81;1;0.852;0;7;"";0.00015;0.352;"HISTORY & PHILOSOPHY OF SCIENCE"
"IEEE ANN HIST COMPUT";"1058-6180";194;0.217;0.455;0.238;21;">10.0";0.00037;0.215;"HISTORY & PHILOSOPHY OF SCIENCE"
"ISIS";"0021-1753";927;1.046;1.222;0.121;33;">10.0";0.00267;1.007;"HISTORY & PHILOSOPHY OF SCIENCE"
"J AGR ENVIRON ETHIC";"1187-7863";598;0.935;1.131;0.115;52;"8.2";0.00092;0.304;"HISTORY & PHILOSOPHY OF SCIENCE"
"J HIST ASTRON";"0021-8286";175;0.439;0.377;0.143;21;">10.0";0.00042;0.248;"HISTORY & PHILOSOPHY OF SCIENCE"
"J HIST BIOL";"0022-5010";371;0.452;0.67;0.111;18;">10.0";0.00064;0.367;"HISTORY & PHILOSOPHY OF SCIENCE"
"J HIST MED ALL SCI";"0022-5045";283;0.579;0.775;0.111;18;">10.0";0.00052;0.412;"HISTORY & PHILOSOPHY OF SCIENCE"
"J HIST NEUROSCI";"0964-704X";226;0.562;0.495;0.304;23;"9.9";0.00018;0.106;"HISTORY & PHILOSOPHY OF SCIENCE"
"MED HIST";"0025-7273";458;0.532;0.523;0.042;24;">10.0";0.00068;0.328;"HISTORY & PHILOSOPHY OF SCIENCE"
"NANOETHICS";"1871-4757";146;0.703;NA;0.038;26;"5.2";0.00031;NA;"HISTORY & PHILOSOPHY OF SCIENCE"
"NEXUS NETW J";"1590-5896";96;0.143;0.16;0.5;40;"";0.00019;0.075;"HISTORY & PHILOSOPHY OF SCIENCE"
"NOTES REC";"0035-9149";188;0.295;0.432;0.125;24;">10.0";5e-04;0.286;"HISTORY & PHILOSOPHY OF SCIENCE"
"NUNCIUS";"0394-7394";33;0.429;0.265;0;13;"";0.00042;0.385;"HISTORY & PHILOSOPHY OF SCIENCE"
"OSIRIS";"0369-7827";331;0.815;1.27;0.059;17;">10.0";0.0011;1.105;"HISTORY & PHILOSOPHY OF SCIENCE"
"PERSPECT BIOL MED";"0031-5982";763;0.482;0.83;0.059;17;">10.0";0.00114;0.359;"HISTORY & PHILOSOPHY OF SCIENCE"
"PHILOS MATH";"0031-8019";113;0.273;0.333;0.143;14;"9.3";0.00014;0.121;"HISTORY & PHILOSOPHY OF SCIENCE"
"PHILOS SCI";"0031-8248";2015;0.833;0.828;0.042;71;">10.0";0.00175;0.31;"HISTORY & PHILOSOPHY OF SCIENCE"
"PHYS PERSPECT";"1422-6944";57;0.407;0.286;0;15;"";0.00014;0.13;"HISTORY & PHILOSOPHY OF SCIENCE"
"REV HIST MATH";"1262-022X";17;0;NA;0;6;"";8e-05;NA;"HISTORY & PHILOSOPHY OF SCIENCE"
"SCI CONTEXT";"0269-8897";240;0.404;0.446;0.154;26;">10.0";0.00079;0.447;"HISTORY & PHILOSOPHY OF SCIENCE"
"SCI EDUC-NETHERLANDS";"0926-7220";705;0.634;0.898;0.106;94;"6.9";0.00136;0.273;"HISTORY & PHILOSOPHY OF SCIENCE"
"SCI ENG ETHICS";"1353-3452";628;0.963;1.104;0.705;61;"5.4";0.00153;0.36;"HISTORY & PHILOSOPHY OF SCIENCE"
"SOC HIST MED";"0951-631X";295;0.403;0.443;0.059;34;">10.0";0.00049;0.178;"HISTORY & PHILOSOPHY OF SCIENCE"
"SOC STUD SCI";"0306-3127";2153;2.351;2.678;0.667;39;">10.0";0.00378;1.301;"HISTORY & PHILOSOPHY OF SCIENCE"
"STUD HIST PHILOS M P";"1355-2198";382;0.6;0.796;0.191;68;"7.7";7e-04;0.274;"HISTORY & PHILOSOPHY OF SCIENCE"
"STUD HIST PHILOS SCI";"0039-3681";492;0.452;0.562;0.143;42;"8.9";0.00112;0.249;"HISTORY & PHILOSOPHY OF SCIENCE"
"SYNTHESE";"0039-7857";2359;0.739;0.88;0.131;213;"8.7";0.00356;0.252;"HISTORY & PHILOSOPHY OF SCIENCE"
"TECHNOL CULT";"0040-165X";380;0.299;0.32;0.143;28;">10.0";0.00048;0.171;"HISTORY & PHILOSOPHY OF SCIENCE"
"ACTA HAEMATOL-BASEL";"0001-5792";1507;1.116;1.053;0.25;96;"10.0";0.0022;0.317;"HEMATOLOGY"
"AM J HEMATOL";"0361-8609";6807;3.798;3.863;1.09;188;"6.0";0.01929;1.458;"HEMATOLOGY"
"ANN HEMATOL";"0939-5555";3683;2.634;2.39;0.663;199;"5.3";0.00898;0.717;"HEMATOLOGY"
"ARTERIOSCL THROM VAS";"1079-5642";32864;6.008;6.199;1.353;312;"8.4";0.05888;2.114;"HEMATOLOGY"
"BEST PRACT RES CL HA";"1521-6926";1266;2.12;2.423;0.182;33;"6.3";0.00322;0.817;"HEMATOLOGY"
"BIOL BLOOD MARROW TR";"1083-8791";7164;3.404;3.615;0.876;275;"5.0";0.02218;1.237;"HEMATOLOGY"
"BIORHEOLOGY";"0006-355X";1608;1.179;2.068;0.12;25;">10.0";0.00104;0.559;"HEMATOLOGY"
"BLOOD";"0006-4971";150854;10.452;9.567;2.415;853;"7.1";0.37299;3.627;"HEMATOLOGY"
"BLOOD CELL MOL DIS";"1079-9796";2821;2.646;2.303;0.513;76;"8.2";0.00516;0.763;"HEMATOLOGY"
"BLOOD COAGUL FIBRIN";"0957-5235";2412;1.403;1.391;0.361;169;"7.2";0.00448;0.401;"HEMATOLOGY"
"BLOOD PURIFICAT";"0253-5068";1362;1.284;1.564;0.187;91;"5.6";0.00338;0.46;"HEMATOLOGY"
"BLOOD REV";"0268-960X";1974;5.565;5.405;0.828;29;"6.7";0.00544;2.101;"HEMATOLOGY"
"BLOOD TRANSFUS-ITALY";"1723-2007";878;2.372;2.239;0.662;157;"2.7";0.00267;0.536;"HEMATOLOGY"
"BONE MARROW TRANSPL";"0268-3369";10530;3.57;3.379;0.801;211;"8.6";0.01717;1.049;"HEMATOLOGY"
"BRIT J HAEMATOL";"0007-1048";20845;4.971;4.777;0.894;330;"8.8";0.04104;1.806;"HEMATOLOGY"
"CIRC RES";"0009-7330";47773;11.019;10.965;3.439;246;"8.8";0.08268;3.795;"HEMATOLOGY"
"CL LYMPH MYELOM LEUK";"2152-2650";1092;2.02;1.748;0.414;87;"3.6";0.00468;0.603;"HEMATOLOGY"
"CLIN APPL THROMB-HEM";"1076-0296";1343;2.392;1.552;0.368;117;"4.0";0.00365;0.417;"HEMATOLOGY"
"CLIN HEMORHEOL MICRO";"1386-0291";2007;2.242;2.096;0.402;117;"5.4";0.00326;0.41;"HEMATOLOGY"
"CRIT REV ONCOL HEMAT";"1040-8428";5103;4.027;3.968;1.23;100;"6.7";0.01043;1.235;"HEMATOLOGY"
"CURR HEMATOL MALIG R";"1558-8211";351;2.2;NA;0.392;51;"2.7";0.00181;NA;"HEMATOLOGY"
"CURR OPIN HEMATOL";"1065-6251";2591;3.97;3.578;0.685;73;"6.0";0.00798;1.444;"HEMATOLOGY"
"CYTOTHERAPY";"1465-3249";3788;3.293;3.26;0.642;162;"5.6";0.00809;0.861;"HEMATOLOGY"
"EUR J HAEMATOL";"0902-4441";3655;2.066;2.237;0.442;156;"6.8";0.00813;0.755;"HEMATOLOGY"
"EXP HEMATOL";"0301-472X";5951;2.475;2.746;0.475;99;"9.1";0.00891;0.963;"HEMATOLOGY"
"EXPERT REV HEMATOL";"1747-4086";587;2.07;1.874;0.853;68;"3.0";0.00317;0.718;"HEMATOLOGY"
"GEMATOL TRANSFUZIOL";"0234-5730";45;0.101;0.074;0.029;35;"";2e-05;0.007;"HEMATOLOGY"
"HAEMATOLOGICA";"0390-6078";12975;5.814;5.653;1.562;217;"5.4";0.04024;2.091;"HEMATOLOGY"
"HAEMOPHILIA";"1351-8216";4882;2.603;2.584;0.605;195;"6.0";0.00767;0.538;"HEMATOLOGY"
"HAMOSTASEOLOGIE";"0720-9355";490;1.602;1.371;0.675;40;"4.1";0.00178;0.42;"HEMATOLOGY"
"HEMATOL ONCOL";"0278-0232";751;3.084;2.471;0.571;28;"5.0";0.00237;0.866;"HEMATOLOGY"
"HEMATOL ONCOL CLIN N";"0889-8588";1764;2.295;2.131;0.391;69;"6.8";0.00492;0.885;"HEMATOLOGY"
"HEMATOL-AM SOC HEMAT";"1520-4391";2411;3.137;NA;NA;NA;"4.4";0.01095;NA;"HEMATOLOGY"
"HEMATOLOGY";"1024-5332";953;1.253;1.285;0.225;71;"6.0";0.00228;0.4;"HEMATOLOGY"
"HEMOGLOBIN";"0363-0269";844;0.787;1.061;0.175;97;"6.1";0.00158;0.266;"HEMATOLOGY"
"INDIAN J HEMATOL BLO";"0971-4502";95;0.198;0.388;0.026;194;"";0.00024;0.085;"HEMATOLOGY"
"INT J HEMATOL";"0925-5710";3246;1.918;1.677;0.323;186;"5.3";0.00873;0.525;"HEMATOLOGY"
"INT J LAB HEMATOL";"1751-5521";912;1.819;1.551;0.403;77;"3.9";0.00304;0.434;"HEMATOLOGY"
"J CEREBR BLOOD F MET";"0271-678X";15903;5.407;5.455;0.974;232;"8.0";0.02926;1.785;"HEMATOLOGY"
"J CLIN APHERESIS";"0733-2459";751;1.791;1.758;0.175;40;"6.0";0.00168;0.501;"HEMATOLOGY"
"J HEMATOL ONCOL";"1756-8722";1475;4.812;4.417;0.784;88;"2.7";0.00552;1.132;"HEMATOLOGY"
"J LEUKOCYTE BIOL";"0741-5400";16298;4.289;4.705;0.701;197;"8.1";0.0297;1.713;"HEMATOLOGY"
"J PEDIAT HEMATOL ONC";"1077-4114";3003;0.902;1.07;0.249;237;"7.3";0.00612;0.355;"HEMATOLOGY"
"J THROMB HAEMOST";"1538-7933";14764;5.72;5.593;0.987;233;"5.6";0.04488;2.03;"HEMATOLOGY"
"J THROMB THROMBOLYS";"0929-5305";1957;2.169;1.83;0.497;149;"4.2";0.00622;0.573;"HEMATOLOGY"
"LEUKEMIA";"0887-6924";20905;10.431;9.158;4.226;212;"5.9";0.05738;3.425;"HEMATOLOGY"
"LEUKEMIA LYMPHOMA";"1042-8194";7153;2.891;2.624;0.997;321;"5.7";0.01829;0.892;"HEMATOLOGY"
"LEUKEMIA RES";"0145-2126";5791;2.351;2.419;0.579;209;"5.6";0.01534;0.769;"HEMATOLOGY"
"MICROCIRCULATION";"1073-9688";2065;2.565;2.71;1;69;"6.7";0.00432;0.866;"HEMATOLOGY"
"PEDIATR BLOOD CANCER";"1545-5009";7020;2.386;2.224;0.562;443;"4.6";0.02439;0.799;"HEMATOLOGY"
"PEDIATR HEMAT ONCOL";"0888-0018";1047;1.096;1.108;0.237;80;"7.3";0.00224;0.363;"HEMATOLOGY"
"PLATELETS";"0953-7104";2026;2.982;2.454;0.576;99;"5.5";0.00447;0.666;"HEMATOLOGY"
"SEMIN HEMATOL";"0037-1963";2025;3.274;3.132;0.697;33;">10.0";0.00417;1.286;"HEMATOLOGY"
"SEMIN THROMB HEMOST";"0094-6176";3607;3.876;3.573;2.32;97;"5.7";0.00714;0.965;"HEMATOLOGY"
"SHOCK";"1073-2322";6536;3.045;2.813;2.024;165;"7.0";0.01035;0.753;"HEMATOLOGY"
"STEM CELLS";"1066-5099";20143;6.523;7.532;1.363;281;"6.1";0.04888;2.47;"HEMATOLOGY"
"STEM CELLS DEV";"1547-3287";6061;3.727;4.055;0.881;269;"3.7";0.01906;1.07;"HEMATOLOGY"
"THER APHER DIAL";"1744-9979";1208;1.705;1.404;0.284;88;"6.1";0.0023;0.359;"HEMATOLOGY"
"THROMB HAEMOSTASIS";"0340-6245";16286;4.984;4.451;1.254;252;"8.1";0.03189;1.488;"HEMATOLOGY"
"THROMB RES";"0049-3848";8170;2.447;2.455;0.512;434;"5.9";0.01962;0.77;"HEMATOLOGY"
"TRANSFUS APHER SCI";"1473-0502";1127;0.768;1.145;0.144;139;"5.1";0.00278;0.325;"HEMATOLOGY"
